name,alternativename,primaryvalue,subcategory,category,type,highlight,metric_001,searchterm,notes,notesLong,sourceNames,link,firstsource,secondsource,thirdsource,ID
abatacept,,4,osteoarthritis,musculoskeletal,hormone,,"87,500",abatacept osteoarthritis,Appears to reduce joint pain and improve function.,,Cochrane,http://www.cochrane.org/CD007277/MUSKEL_abatacept-for-rheumatoid-arthritis,http://www.cochrane.org/CD007277/MUSKEL_abatacept-for-rheumatoid-arthritis,,,1
agnus castus,vitex,5,PMS,women,plant / herb,,"160,000",agnus castus PMS,Helps improve PMS symptoms.,,"Archives of Gynecology and Obstetrics; The European Menopause Journal, Archives of Women's Mental Health, American Journal of Obstetrics and Gynecology, Electronic Physician",https://www.sciencedirect.com/science/article/pii/S0002937817303198,,"https://www.sciencedirect.com/science/article/pii/S0002937817303198
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5308513/
https://link.springer.com/article/10.1007/s00737-017-0791-0","http://www.maturitas.org/article/S0378-5122(09)00031-0/abstract?cc=y=, http://link.springer.com/article/10.1007/s004040000123",2
aloe vera,,0,digestive aid,digestion,plant / herb,,"11,800,000",aloe vera  digestion,"HARMFUL. Never eat. Ingestion can causes diarrhea, electrolyte imbalance and kidney disfunction.",,Journal of Environmental Science and Health,http://www.tandfonline.com/doi/abs/10.1080/10590500600614303#.VcDwRZNVhBc,,,http://www.tandfonline.com/doi/abs/10.1080/10590500600614303#.VcDwRZNVhBc,3
aloe vera,,1,"burns, cuts",general health,plant / herb,,"18,800,000",aloe vera burns cuts,No high quality evidence to support aloe vera for treatment of wounds.,,Cochrane,https://www.cochrane.org/CD008762/WOUNDS_aloe-vera-for-treating-acute-and-chronic-wounds,https://www.cochrane.org/CD008762/WOUNDS_aloe-vera-for-treating-acute-and-chronic-wounds,,,4
aloe vera,,2,diabetes,diabetes,plant / herb,,"27,800,000",aloe vera diabetes,One study found diabetes patients with high blood levels of fat (dyslipidemia) benefited from one 300mg capsule every 12 hours for 2 months.,,Planta Medica,http://www.omni.org.il/_Uploads/dbsAttachedFiles/Research1.Antihyperglycemic.pdf,,,http://www.omni.org.il/_Uploads/dbsAttachedFiles/Research1.Antihyperglycemic.pdf,5
andrographis,,1,respiratory tract infections,infections,plant / herb,,"154,000",andrographis respiratory infections,Slight evidence of reduced symptoms.,,Otolaryngologic Clinics of North America,http://www.sciencedirect.com/science/article/pii/S0030666512002149,,http://www.sciencedirect.com/science/article/pii/S0030666512002149,,6
antioxidants,,3,infertility in men,"sexual health, men, children",compound,,"1,900,000",antioxidants infertility,Evidence of anti-oxidants as treatment for male infertility is inconclusive.,,Cochrane,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007411.pub3/abstract,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007411.pub3/abstract,,,7
antioxidants,,0,mortality,general health,compound,,"7,330,000",antioxidants mortality,"Taking antixoxidants have no health benefits. In fact, beta carotene, vitamin A and vitamin E appear to increase the risk of death.",,Cochrane,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007176.pub2/abstract,http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007176.pub2/abstract,,,8
ashwagandha,withania somnifera,4,anxiety & stress,mental health,plant / herb,OTW,"1,130,000",ashwagandha anxiety stress,A review of 5 human trials concludes Ashwagandha reduces anxiety & stress. The review calls for more trials. ,,The Journal of Alternative and Complementary Medicine,http://online.liebertpub.com/doi/abs/10.1089/acm.2014.0177,,http://online.liebertpub.com/doi/abs/10.1089/acm.2014.0177,,9
ashwagandha,withania somnifera,2,erectile dysfunction,sexual health,plant / herb,,"634,000",ashwagandha erectile dysfunction,"In a single pilot study on 46 men with low-sperm count, ashwagandha supplementation appeared to increase sperm count  & volume. ",,Evidence-based complimentary & alternative medicine,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/963/CN-00977963/frame.html,,,http://onlinelibrary.wiley.com/o/cochrane/clcentral/articles/963/CN-00977963/frame.html,10
